,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres
9511,Ek Bander Ne Kholi Dukan,FAMILY,5.0,10,3.0,10000,Free,0.0,Everyone,Entertainment
10166,FA Player Essentials,SPORTS,5.0,7,68,100,Free,0.0,Everyone,Sports
7895,Dine In CT - Food Delivery,SHOPPING,5.0,4,1.6,1000,Free,0.0,Everyone,Shopping
5118,Eternal Light AG,SOCIAL,5.0,30,13,100,Free,0.0,Teen,Social
6953,BxPort - Bitcoin Bx (Thailand),FINANCE,5.0,4,4.1,50,Free,0.0,Everyone,Finance
5125,Ag Valley Cooperative,BUSINESS,5.0,6,74,500,Free,0.0,Everyone,Business
7896,CT Checkout,FINANCE,5.0,1,8.4,50,Free,0.0,Everyone,Finance
5139,Chenoweth AH,MEDICAL,5.0,1,27,100,Free,0.0,Everyone,Medical
5145,Arrowhead AH App,MEDICAL,5.0,3,28,100,Free,0.0,Everyone,Medical
5148,Kimbrough AH,MEDICAL,5.0,5,28,100,Free,0.0,Everyone,Medical
6863,Bacterial vaginosis Treatment - Sexual disease,HEALTH_AND_FITNESS,5.0,2,5.9,500,Free,0.0,Everyone,Health & Fitness
6861,BV Sridhara Maharaj,FAMILY,5.0,8,2.7,100,Free,0.0,Everyone,Entertainment
6852,BV,COMMUNICATION,5.0,3,1.6,100,Free,0.0,Everyone,Communication
6851,BV Mobile Apps,PRODUCTIVITY,5.0,3,4.8,100,Free,0.0,Everyone,Productivity
5196,AI Today : Artificial Intelligence News & AI 101,NEWS_AND_MAGAZINES,5.0,43,2.3,100,Free,0.0,Everyone,News & Magazines
9503,Pyaar Ek Dhoka,FAMILY,5.0,18,1.3,50,Free,0.0,Everyone,Casual
5108,Lakeside AG Moultrie,LIFESTYLE,5.0,3,8.6,50,Free,0.0,Everyone,Lifestyle
7321,CG Jobs,FAMILY,5.0,8,14,10,Free,0.0,Everyone,Education
6700,Brick Breaker BR,GAME,5.0,7,19,5,Free,0.0,Everyone,Arcade
2533,Zen Leaf,MEDICAL,5.0,1,6.1,100,Free,0.0,Mature 17+,Medical
2527,BP Journal - Blood Pressure Diary,MEDICAL,5.0,6,26,1000,Free,0.0,Everyone,Medical
7131,C B Patel Health Club,HEALTH_AND_FITNESS,5.0,5,14,100,Free,0.0,Everyone,Health & Fitness
7127,CB VIDEO VISION,PHOTOGRAPHY,5.0,13,2.6,100,Free,0.0,Everyone,Photography
7872,CT Cervical Spine,MEDICAL,5.0,5,17,1000,Free,0.0,Everyone,Medical
7122,CB Fit,HEALTH_AND_FITNESS,5.0,1,7.8,10,Free,0.0,Everyone,Health & Fitness
9536,Shabad Gurubani Punjabi mp3 free - Ek Onkar Satnam,FAMILY,5.0,5,64,100,Free,0.0,Everyone,Entertainment
7100,CA Speakers,LIFESTYLE,5.0,12,1.2,100,Paid,0.99,Teen,Lifestyle
7881,CARDIAC CT TECHNIQUE,MEDICAL,5.0,6,17,1000,Free,0.0,Everyone,Medical
9531,Lyrics of Ek Paheli Leela,FAMILY,5.0,4,2.3,500,Free,0.0,Everyone,Entertainment
4988,Easy Hotspot Ad Free,TOOLS,5.0,2,3.3,10,Paid,0.99,Everyone,Tools
